"Bore no","Name","Bore report","Yield (L/s)","Completion date","Drilled depth (m)","Completion depth (m)","Depth to water (m) at date of drilling","Purpose","Construction","Status","Latitude","Longitude","UTM zone","Easting","Northing","Position accuracy","Water data portal"
"RN041591","Bore 2",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN041591,0.8,2019-12-19 00:00:00.0,63,63,14,,"Constructed&Capped","Current",-23.75537,133.78597,53,376281,7372329,"GPS",
"RN038552","Transpacific (Northern Property Group No 2 Pty Ltd)",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN038552,1,2014-03-21 00:00:00.0,6,6,,"Investigation","Constructed&Capped","Current",-12.451121,130.964484,52,713528,8622772,"GPS",
"RN041590","Bore 1",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN041590,0.4,2019-12-17 00:00:00.0,56,56,13,,"Constructed&Capped","Current",-23.754662,133.785989,53,376282,7372407,"GPS",
"RN013620","DONS BORE NO3. [PROD-USE] ILLIPUNU 7K NW RN15247",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013620,0.8,1983-06-22 00:00:00.0,14,0,10,"Production","Constructed&Capped","Current",-22.258366,131.91905,52,800851,7535671,"GPS",
"RN038553","Transpacific (Northern Property Group No 2 Pty Ltd)",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN038553,1,2014-03-21 00:00:00.0,6,6,,"Investigation","Constructed&Capped","Current",-12.451032,130.964346,52,713513,8622782,"GPS",
"RN013621","ROCKOW BORE NO2 DUD,U/S 100M ENE OF ROCKOW RN 3038",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013621,0,1983-06-23 00:00:00.0,55,0,0,"Production",,"Current",-22.428251,132.341358,53,226334,7517347,"GPS",
"RN038554","Transpacific (Northern Property Group No 2 Pty Ltd)",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN038554,1,2014-03-21 00:00:00.0,6,6,,"Investigation","Constructed&Capped","Current",-12.45096,130.964189,52,713496,8622790,"GPS",
"RN041600","NT Portion 3431 Elkedra Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN041600,2,2026-07-26 13:13:41.0,106,106,84,,"Constructed&Capped","Current",-21.178764,135.909768,53,594441,7657797,"GPS",
"RN038555","Transpacific (Northern Property Group No 2 Pty Ltd)",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN038555,1,2014-03-21 00:00:00.0,6,6,,"Investigation","Constructed&Capped","Current",-12.451052,130.96407,52,713483,8622780,"GPS",
"RN013581","TOMAHAWK BORE         (MONO) 7.5K S/E OF MOMOSA RN 1358",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013581,13.1,1982-11-25 00:00:00.0,97,0,0,"Production",,"Current",-22.412264,135.829857,53,585411,7521304,"GPS",
"RN041573","NT Portion 1208 Melville Rd, Nhulunbuy",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN041573,,2025-02-05 13:58:35.0,9.5,9.5,,,"Constructed&Capped","Current",-12.203108,136.720183,53,687142,8650393,"GPS",
"RN041572","NT Portion 1208 Melville Bay Rd, Nhulunbuy",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN041572,,2025-02-03 15:28:50.0,18,18,,,"Constructed&Capped","Current",-12.202524,136.721089,53,687241,8650457,"GPS",
"RN013584","A125/2 80M DRY DUD    N/SEEN 8km (NE) OF No1 SISTERS DA",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013584,0,1982-12-12 00:00:00.0,80,0,0,"Production","Not Found","Historical",-25.401744,133.272771,53,326260,7189443,"Estimated",
"RN038534","M.A. Kerr",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN038534,0.05,2015-08-04 00:00:00.0,42,42,,"Production","Constructed&Capped","Current",-13.712391,130.677272,52,681376,8483452,"GPS",
"RN041575","NT Portion 1208 Melville Bay Rd, Nhulunbuy",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN041575,,2025-02-06 15:11:31.0,8,9.5,,,"Constructed&Capped","Current",-12.203701,136.719195,53,687034,8650328,"GPS",
"RN042621","NT Portion 1646Melville Bat Rd, Nhulunbuy",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN042621,,2020-12-10 00:00:00.0,15.3,15,,,"Constructed&Capped","Current",-12.185033,136.745363,53,689895,8652375,"GPS",
"RN013585","24M DRY DUD      NO TRACE 15K STH&2K WEST H/S ON S/HWAY",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013585,0,1982-12-13 00:00:00.0,24,0,0,"Production","No Trace","Historical",-25.361478,133.208451,53,319729,7193818,"Estimated",
"RN038535","A.C. Fletcher",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN038535,0.3,2015-08-05 00:00:00.0,54,54,1.5,"Production","Equipped","Current",-13.710861,130.692265,52,682999,8483610,"GPS",
"RN041574","NT Portion 1208 Melville Bay Rd, Nhulunbuy",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN041574,,2025-02-04 14:18:38.0,33.5,31,,,"Constructed&Capped","Current",-12.203108,136.720183,53,687142,8650393,"GPS",
"RN042620","NT Portion 1646 Melville Bay Rd, Nhulunbuy",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN042620,,2020-12-11 00:00:00.0,15.3,14.5,,,,"Current",-12.186093,136.745021,53,689857,8652258,"GPS",
"RN013582","MIMOSA BORE         (MONO) 7.5K N/W OF TOMAHAWK RN 1358",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013582,2,1982-11-28 00:00:00.0,74,0,0,"Production",,"Current",-22.370071,135.789707,53,581303,7525997,"GPS",
"RN038536","H. & V.A.M. Sinclair",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN038536,,2015-08-05 00:00:00.0,100,100,,"Production","Constructed&Capped","Current",-13.702468,130.683672,52,682076,8484545,"GPS",
"RN041577","NT Portion 1208 Melville Bay Rd, Nhulunbuy",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN041577,,2025-02-09 10:35:02.0,9.5,8,,,"Constructed&Capped","Current",-12.204762,136.717299,53,686827,8650212,"GPS",
"RN042613","BH-S8-OL2-P Sec 1582 Hundred of Cotton 495 Marrakai",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN042613,,2022-09-27 00:00:00.0,20,20,,,"Decommissioned","Historical",-12.846748,131.192289,52,737933,8578799,"GPS",
"RN013583","SUPLEJACK CORNER BORE 8X6"CAS 16K WNW OF HORSEPLAIN RN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013583,0.6,1982-12-04 00:00:00.0,69,0,0,"Production",,"Current",-22.291504,135.585778,53,560341,7534790,"GPS",
"RN038537","H. & V.A.M. Sinclair",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN038537,,2015-10-29 00:00:00.0,60,60,,"Unknown","Open Hole","Current",-13.702631,130.683664,52,682075,8484527,"GPS",
