"Bore no","Name","Bore report","Yield (L/s)","Completion date","Drilled depth (m)","Completion depth (m)","Depth to water (m) at date of drilling","Purpose","Construction","Status","Latitude","Longitude","UTM zone","Easting","Northing","Position accuracy","Water data portal"
"RN017423","Investigation Production Bore Woodgreen Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017423,4,2000-08-05 00:00:00.0,30,29.7,7.22,"Production","Constructed&Capped","Current",-22.402278,133.859451,53,382601,7522200,"GPS",
"RN004185","HANSON BORE NO2 ABD    (MILL) 8K S/E OF MT ESTHER RN 32",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN004185,,,27.4,0,,"Unknown",,"Current",-21.971114,133.421004,53,336967,7569530,"GPS",
"RN017422","Investigation Bore Woodgreen Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017422,20,2000-08-05 00:00:00.0,79.6,76.5,26.61,"Investigation","Constructed&Capped","Current",-22.540819,133.875615,53,384380,7506875,"GPS",
"RN018336","Pine Hill Station - Arden Soak",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018336,0.2,2007-07-02 00:00:00.0,72.3,62.6,,"Investigation","Constructed&Capped","Current",-22.346514,133.33225,53,328257,7527867,"GPS",
"RN017125","Stock Bore Bushy Park Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017125,1.3,2005-08-11 00:00:00.0,42,42,21,"Production","Constructed&Capped","Current",-22.951619,134.001304,53,397612,7461488,"GPS",
"RN018337","Pine Hill Station - Arden Soak",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018337,0.1,2007-07-02 00:00:00.0,60.5,50.1,,"Investigation","Constructed&Capped","Current",-22.348784,133.336922,53,328741,7527621,"GPS",
"RN005085","STORE. TEATREE PUB 30M STH OF BAR",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN005085,0,1965-10-03 00:00:00.0,12.8,0,0,"Production",,"Current",-22.131485,133.417412,53,336780,7551770,"Estimated",
"RN017124","Stock Bore Bushy Park Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017124,0.4,2005-08-10 00:00:00.0,42,42,23.1,"Production","Constructed&Capped","Current",-23.025851,133.899649,53,387251,7453195,"GPS",
"RN017426","Investigation Bore Woodgreen Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017426,7,2000-08-09 00:00:00.0,55.1,55.1,0,"Investigation","Constructed&Capped","Current",-22.435478,133.924544,53,389328,7518574,"GPS",
"RN016885","Investigation Bore Dud Territory Grape Farm",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016885,2.1,1997-06-25 00:00:00.0,78.5,0,,"Investigation","Backfilled","Historical",-22.458839,133.658275,53,361947,7515767,"GPS",
"RN018332","Investigation Bore Arden Soak Pine Hill Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018332,,2007-04-26 00:00:00.0,3.3,3,,"Investigation","Constructed&Capped","Current",-22.346372,133.327212,53,327738,7527877,"GPS",
"RN016884","Territory Grape Farm Monitoring Bore",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016884,15,1996-10-10 00:00:00.0,72.2,63,,"Monitoring","Constructed&Capped","Current",-22.458849,133.658372,53,361957,7515766,"GPS",
"RN018333","Investigation Bore Arden Soak Pine Hill Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018333,,2007-04-27 00:00:00.0,21.6,2.4,,"Investigation","Constructed&Capped","Current",-22.309384,133.337379,53,328740,7531984,"GPS",
"RN017127","Stock Bore Woodgreen Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017127,0.7,2005-08-12 00:00:00.0,24,24,6.7,"Production","Constructed&Capped","Current",-22.348343,134.164383,53,413957,7528377,"GPS",
"RN018335","Pine Hill Station - Arden Soak",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018335,1,2007-06-28 00:00:00.0,78.3,73,,"Investigation","Constructed&Capped","Current",-22.346075,133.327362,53,327753,7527910,"GPS",
"RN019240","Irrigation Bore NTP 2427 Pine Hill",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN019240,18,2015-11-23 00:00:00.0,73,73,11.3,"Production","Constructed&Capped","Current",-22.349731,133.664139,53,362443,7527852,"GPS",
"RN017844","Investigation Monitoring Bore Ti Tree Area",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017844,9,2002-11-06 00:00:00.0,43.4,43.4,10.95,"Monitoring","Constructed&Capped","Current",-22.209445,133.482497,53,343580,7543207,"GPS",
"RN017845","Investigation Monitoring Bore Ti Tree Area",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017845,9,2002-12-06 00:00:00.0,53,52.8,11.67,"Monitoring","Constructed&Capped","Current",-22.192056,133.464868,53,341743,7545114,"GPS",
"RN003937","#3 Bore Woodgreen Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003937,,,36.5,0,,"Production","Windmill","Current",-22.430657,134.26709,53,424577,7519320,"GPS",
"RN003938","SOUTH GATE BORE [PROD-ABD] 13.7KM (S) OF RN1775. ANGKUL",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003938,,,61,0,,"Production",,"Current",-22.555851,134.216936,53,419488,7505435,"GPS",
"RN002795","OLD H/S NO1 4M DRY DUD     N/T OLD HOMESTEAD AREA",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN002795,0,1961-10-10 00:00:00.0,4.3,0,0,"Production",,"Current",-22.899888,133.938464,53,391128,7467170,"Estimated",
"RN002794","OLD H/S NO2 7M DRY DUD     N/T NEAR OLD HOMESTEAD",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN002794,0,1961-10-16 00:00:00.0,7,0,0,"Production",,"Current",-22.899888,133.938464,53,391128,7467170,"Estimated",
"RN017843","Investigation Monitoring Bore Ti Tree Area",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017843,8,2002-11-06 00:00:00.0,73.6,48,12.12,"Monitoring","Constructed&Capped","Current",-22.192422,133.464408,53,341696,7545073,"GPS",
"RN002793","D/R NO2 SPINIFEX BORE   (MILL) 11K N/W OF BLOODWOOD RN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN002793,1.8,1961-10-06 00:00:00.0,70.7,0,0,"Production",,"Current",-22.742801,133.935542,53,390703,7484559,"GPS",
"RN002538","TIN FISH WELL NO.1 20.5KM (SW) OF MERINO WELL.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN002538,,,6.7,0,,"Unknown",,"Current",-21.909181,133.871101,53,383395,7576797,"GPS",
"RN002791","D/R NO1 47M DRY DUD        N/T 16K NNE OF OLD H/S AT OL",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN002791,0,1961-09-26 00:00:00.0,46.6,0,0,"Production",,"Current",-22.801327,134.065882,53,404128,7478170,"Estimated",
"RN002789","H/S NO3 34M 0.06LPS DUD    N/T AT OLD HOMESTEAD.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN002789,0.1,1961-11-02 00:00:00.0,33.8,0,0,"Production",,"Current",-22.899888,133.938464,53,391128,7467170,"Estimated",
"RN013155","DRY DUD 4KM (W) OF S/HWAY & 2KM N DAM",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013155,0,1981-06-10 00:00:00.0,51,0,0,"Production",,"Current",-22.512107,133.304439,53,325600,7509500,"Estimated",
"RN014250","Territory Grape Farm Production Bore",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN014250,12,1985-05-01 00:00:00.0,73.9,73.6,0,"Production","Equipped-Diesel","Current",-22.450355,133.647212,53,360800,7516696,"GPS",
"RN014248","Territory Grape Farm Old Production Bore",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN014248,12,1985-04-27 00:00:00.0,80.5,77.8,0,"Production","Abandoned","Historical",-22.446038,133.638567,53,359906,7517166,"GPS",
"RN002532","Kuraljan - Woodgreen Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN002532,0.1,1961-04-10 00:00:00.0,30.5,30.5,0,"Monitoring","Constructed&Capped","Current",-22.353987,133.846463,53,381223,7527536,"GPS",
"RN014249","Oolloo Farm Production Bore Decommissioned",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN014249,12,1985-04-29 00:00:00.0,66.2,0,0,"Production",,"Current",-22.349704,133.664052,53,362434,7527855,"Surveyed",
"RN004186","4MILE WELL 3M DEEP DRY ABD U/S APX7K NNW OF MT ESTHER R",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN004186,,,18.3,0,,"Unknown",,"Current",-21.881771,133.33327,53,327799,7579326,"GPS",
"RN013391","BORE 8 3KM NW OF H\STED ON NEW FENCE",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013391,1.9,1982-02-04 00:00:00.0,34,0,0,"Production",,"Current",-22.370016,133.028329,53,296986,7524887,"Estimated",
"RN003930","5 MILE BORE 8KM (NE) HOMESTEAD.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003930,,,0,0,,"Unknown",,"Current",-22.350298,134.18277,53,415851,7528171,"GPS",
"RN013395","BORE 11 3KM (E) & 8KM (S) OF H/STEAD.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013395,0.8,1982-02-06 00:00:00.0,30,0,0,"Production",,"Current",-22.402518,133.071942,53,301524,7521346,"Estimated",
"RN013392","BORE 9 DRY DUD 1KM (S) & 1.6KM (W) OF H/STEAD",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013392,0,1982-02-04 00:00:00.0,60,0,0,"Production",,"Current",-22.394475,133.061662,53,300454,7522223,"Estimated",
"RN013393","BORE 10 3KM (E) & 8KM (S) OF H/STEAD.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013393,,,27,0,,"Unknown",,"Current",-22.402518,133.071942,53,301524,7521346,"Estimated",
"RN018740","Town Water Supply Anmatjere? Power and Water",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018740,5,2013-05-23 00:00:00.0,48,46.3,14.45,"Production","Constructed&Capped","Current",-22.186087,133.453567,53,340571,7545763,"GPS",
"RN017855","Investigation Monitoring Bore Ti Tree Area",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017855,13,2003-05-16 00:00:00.0,62.8,42,,"Investigation","Observation","Current",-22.181166,133.446143,53,339800,7546300,"GPS",
"RN018733","Irrigation Bore Anmatjere Ahakeye ALT",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018733,3.8,2012-08-19 00:00:00.0,72,69,9.7,"Production","Constructed&Capped","Current",-22.19961,133.436785,53,338856,7544248,"GPS",
"RN017856","Investigation Monitoring Bore Ti Tree Area",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017856,9.5,2003-05-17 00:00:00.0,81.1,42,,"Investigation","Observation","Current",-22.194823,133.457554,53,340992,7544800,"GPS",
"RN017857","Monitoring Bore Ti Tree Area",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017857,3.3,2003-05-19 00:00:00.0,50.6,50.5,12.56,"Investigation","Observation","Current",-22.187733,133.455663,53,340789,7545583,"GPS",https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN017857/Interval/Latest
"RN017858","Investigation Test Production Bore Ti Tree Area",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017858,6.6,2003-05-21 00:00:00.0,44.7,44.1,12.49,"Production","Constructed&Capped","Current",-22.183192,133.450194,53,340220,7546080,"GPS",
"RN017851","Investigation Bore Ti Tree Area",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017851,6,2003-05-09 00:00:00.0,59.5,42.5,12.88,"Investigation","Observation","Current",-22.179404,133.441314,53,339300,7546490,"GPS",
"RN017852","Investigation Bore Ti Tree Area",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017852,8,2003-05-13 00:00:00.0,62.8,22.5,,"Investigation","Observation","Current",-22.187442,133.439344,53,339106,7545598,"GPS",
"RN017853","Investigation Monitoring Bore Ti Tree Area",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017853,6,2013-05-25 00:00:00.0,56.7,30.6,15.33,"Monitoring","Constructed&Capped","Current",-22.196112,133.446833,53,339888,7544646,"GPS",
"RN017854","Investigation Bore Ti Tree Area",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017854,9,2003-05-15 00:00:00.0,62.8,21,,"Investigation","Observation","Current",-22.200388,133.473041,53,342595,7544200,"GPS",
"RN044142","NT Portion 362 Anningie Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN044142,1.2,2024-02-28 15:27:23.0,84,84,12,,"Constructed&Capped","Current",-21.928458,133.404759,53,335240,7574235,"GPS",
"RN044143","NT Portion 361 Anningie Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN044143,3,2024-02-29 11:06:56.0,60,60,10.1,,"Constructed&Capped","Current",-21.930049,133.406775,53,335450,7574061,"GPS",
"RN002550","MERINO BORE. 6KM (E) OF S/HIWAY.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN002550,,,11.3,0,,"Unknown",,"Current",-21.815298,133.722483,53,367956,7587070,"GPS",
