distance_km,id_or_name,lat,lon,source_file
28.409,RN013431,-22.534188,133.114445,Bores_Ti_Tree.csv
28.448,RN012563,-22.394799,133.048781,Bores_Ti_Tree.csv
28.523,RN016796,-22.125606,133.416313,Bores_Ti_Tree.csv
28.539,RN015042,-22.12695,133.420786,Bores_Ti_Tree.csv
28.555,RN018895,-22.282735,133.585959,Bores_Ti_Tree.csv
28.561,RN018894,-22.282735,133.586017,Bores_Ti_Tree.csv
28.577,RN017914,-22.282356,133.586041,Bores_Ti_Tree.csv
28.619,RN000930,-22.623907,133.347119,Bores_Ti_Tree.csv
28.646,RN003387,-22.125034,133.418163,Bores_Ti_Tree.csv
28.683,RN001602,-22.251139,133.074991,Bores_Ti_Tree.csv
28.683,RN001603,-22.251139,133.074991,Bores_Ti_Tree.csv
28.834,RN005588,-22.1329,133.443397,Bores_Ti_Tree.csv
28.850,RN012565,-22.365023,133.043332,Bores_Ti_Tree.csv
29.020,RN012562,-22.379464,133.041945,Bores_Ti_Tree.csv
29.311,RN005583,-22.105418,133.355094,Bores_Ti_Tree.csv
29.341,RN014784,-22.385653,133.039198,Bores_Ti_Tree.csv
29.548,RN013693,-22.341028,133.037978,Bores_Ti_Tree.csv
29.553,RN013936,-22.418581,133.60596,Bores_Ti_Tree.csv
29.913,RN013692,-22.338279,133.034717,Bores_Ti_Tree.csv
29.914,RN016137,-22.338189,133.034718,Bores_Ti_Tree.csv
29.943,RN004512,-22.636709,133.322429,Bores_Ti_Tree.csv
29.987,RN015071,-22.335295,133.03437,Bores_Ti_Tree.csv
30.209,RN013926,-22.511092,133.573353,Bores_Ti_Tree.csv
30.392,RN013391,-22.370016,133.028329,Bores_Ti_Tree.csv
30.547,RN015986,-22.641866,133.337165,Bores_Ti_Tree.csv
30.547,RN011750,-22.641866,133.337175,Bores_Ti_Tree.csv
30.586,RN015971,-22.641926,133.343012,Bores_Ti_Tree.csv
30.734,RN006027,-22.642996,133.34697,Bores_Ti_Tree.csv
30.803,RN018716,-22.643581,133.347585,Bores_Ti_Tree.csv
30.819,RN002587,-22.643772,133.346881,Bores_Ti_Tree.csv
30.996,RN017283,-22.645315,133.347603,Bores_Ti_Tree.csv
31.013,RN015977,-22.645365,133.348984,Bores_Ti_Tree.csv
31.024,RN015982,-22.645529,133.348214,Bores_Ti_Tree.csv
31.073,RN015987,-22.646421,133.341012,Bores_Ti_Tree.csv
31.736,RN043685,-22.641197,133.236554,Bores_Ti_Tree.csv
31.753,RN010553,-22.160918,133.110755,Bores_Ti_Tree.csv
31.778,RN004509,-22.653211,133.322706,Bores_Ti_Tree.csv
31.795,RN004835,-22.652954,133.340486,Bores_Ti_Tree.csv
